Alpha (XGB weight),Label,acc,f1,prec,rec
0.0,"XGB=0.0, LGB=1.0",95.1083,95.0932,95.1445,95.1083
0.1,"XGB=0.1, LGB=0.9",95.15,95.1347,95.1848,95.15
0.2,"XGB=0.2, LGB=0.8",95.1583,95.1427,95.1952,95.1583
0.3,"XGB=0.3, LGB=0.7",95.15,95.1347,95.1851,95.15
0.4,"XGB=0.4, LGB=0.6",95.1583,95.1422,95.1949,95.1583
0.5,"XGB=0.5, LGB=0.5",95.2167,95.2014,95.2545,95.2167
0.6,"XGB=0.6, LGB=0.4",95.2083,95.1935,95.2448,95.2083
0.7,"XGB=0.7, LGB=0.3",95.1833,95.1689,95.2185,95.1833
0.8,"XGB=0.8, LGB=0.2",95.1333,95.1185,95.1678,95.1333
0.9,"XGB=0.9, LGB=0.1",95.125,95.1103,95.162,95.125
1.0,"XGB=1.0, LGB=0.0",95.1,95.0854,95.1372,95.1
